15:20:36.916 > X: -0.428708, Y: 0.208367, Z: 10.262659
15:20:36.936 > X: -0.526904, Y: 0.313748, Z: 10.190808
15:20:36.955 > X: -0.428708, Y: 0.287402, Z: 10.317744
15:20:36.975 > X: -0.519719, Y: 0.201182, Z: 10.289004
15:20:36.995 > X: -0.455054, Y: 0.251477, Z: 10.231524
15:20:37.015 > X: -0.490979, Y: 0.277822, Z: 10.267448
15:20:37.035 > X: -0.445474, Y: 0.263452, Z: 10.176438
15:20:37.055 > X: -0.457449, Y: 0.253872, Z: 10.197993
15:20:37.075 > X: -0.421523, Y: 0.172441, Z: 10.219548
15:20:37.096 > X: -0.426313, Y: 0.256267, Z: 10.303374
15:20:37.115 > X: -0.435894, Y: 0.256267, Z: 10.265054
15:20:37.136 > X: -0.416733, Y: 0.292192, Z: 10.229129
15:20:37.155 > X: -0.469424, Y: 0.232317, Z: 10.243499
15:20:37.176 > X: -0.440684, Y: 0.340093, Z: 10.217154
15:20:37.196 > X: -0.522114, Y: 0.289797, Z: 10.312954
15:20:37.215 > X: -0.387993, Y: 0.280217, Z: 10.298584
15:20:37.235 > X: -0.481399, Y: 0.277822, Z: 10.169253
15:20:37.255 > X: -0.467029, Y: 0.237107, Z: 10.207573
15:20:37.276 > X: -0.445474, Y: 0.189207, Z: 10.102192
15:20:37.296 > X: -0.433499, Y: 0.225132, Z: 10.224339
15:20:37.315 > X: -0.510139, Y: 0.280217, Z: 10.370435
15:20:37.335 > X: -0.493374, Y: 0.246687, Z: 10.217154
15:20:37.355 > X: -0.447869, Y: 0.249082, Z: 10.190808
15:20:37.375 > X: -0.440684, Y: 0.261057, Z: 10.286609
15:20:37.395 > X: -0.426313, Y: 0.239502, Z: 10.236314
15:20:37.416 > X: -0.421523, Y: 0.258662, Z: 10.181228
15:20:37.436 > X: -0.469424, Y: 0.263452, Z: 10.289004
15:20:37.455 > X: -0.457449, Y: 0.273032, Z: 10.286609
15:20:37.476 > X: -0.435894, Y: 0.241897, Z: 10.272239
15:20:37.496 > X: -0.423918, Y: 0.186812, Z: 10.193203
15:20:37.516 > X: -0.330513, Y: 0.263452, Z: 10.253078
15:20:37.535 > X: -0.356858, Y: 0.205972, Z: 10.162067
15:20:37.555 > X: -0.510139, Y: 0.296982, Z: 10.336905
15:20:37.575 > X: -0.450264, Y: 0.213157, Z: 10.236314
15:20:37.596 > X: -0.450264, Y: 0.201182, Z: 10.209969
15:20:37.615 > X: -0.450264, Y: 0.205972, Z: 10.300979
15:20:37.635 > X: -0.483794, Y: 0.287402, Z: 10.351274
15:20:37.656 > X: -0.414338, Y: 0.277822, Z: 10.248288
15:20:37.675 > X: -0.493374, Y: 0.265847, Z: 10.274633
15:20:37.695 > X: -0.490979, Y: 0.172441, Z: 10.279424
15:20:37.715 > X: -0.440684, Y: 0.232317, Z: 10.332114
15:20:37.735 > X: -0.459844, Y: 0.256267, Z: 10.262659
15:20:37.755 > X: -0.471819, Y: 0.280217, Z: 10.224339
15:20:37.776 > X: -0.433499, Y: 0.328118, Z: 10.197993
15:20:37.796 > X: -0.457449, Y: 0.253872, Z: 10.111773
15:20:37.815 > X: -0.407153, Y: 0.282612, Z: 10.317744
15:20:37.836 > X: -0.407153, Y: 0.261057, Z: 10.269844
15:20:37.855 > X: -0.447869, Y: 0.311353, Z: 10.399175
15:20:37.875 > X: -0.483794, Y: 0.273032, Z: 10.253078
15:20:37.895 > X: -0.502954, Y: 0.270637, Z: 10.243499
15:20:37.915 > X: -0.423918, Y: 0.210762, Z: 10.300979
15:20:37.936 > X: -0.455054, Y: 0.186812, Z: 10.190808
15:20:37.956 > X: -0.481399, Y: 0.311353, Z: 10.214758
15:20:37.976 > X: -0.450264, Y: 0.313748, Z: 10.274633
15:20:37.995 > X: -0.488584, Y: 0.289797, Z: 10.315350
15:20:38.015 > X: -0.476609, Y: 0.270637, Z: 10.260263
15:20:38.035 > X: -0.426313, Y: 0.285007, Z: 10.212363
15:20:38.055 > X: -0.445474, Y: 0.246687, Z: 10.274633
15:20:38.076 > X: -0.428708, Y: 0.273032, Z: 10.195599
15:20:38.095 > X: -0.411943, Y: 0.294587, Z: 10.138118
15:20:38.116 > X: -0.428708, Y: 0.265847, Z: 10.267448
15:20:38.136 > X: -0.407153, Y: 0.213157, Z: 10.205178
15:20:38.155 > X: -0.459844, Y: 0.273032, Z: 10.238708
15:20:38.175 > X: -0.440684, Y: 0.265847, Z: 10.219548
15:20:38.195 > X: -0.469424, Y: 0.318538, Z: 10.312954
15:20:38.215 > X: -0.479004, Y: 0.273032, Z: 10.257869
15:20:38.235 > X: -0.517324, Y: 0.225132, Z: 10.281818
15:20:38.256 > X: -0.426313, Y: 0.263452, Z: 10.293794
15:20:38.276 > X: -0.455054, Y: 0.277822, Z: 10.205178
15:20:38.296 > X: -0.438289, Y: 0.296982, Z: 10.269844
15:20:38.316 > X: -0.464634, Y: 0.270637, Z: 10.293794
15:20:38.335 > X: -0.447869, Y: 0.296982, Z: 10.284214
15:20:38.355 > X: -0.500559, Y: 0.253872, Z: 10.226733
